## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT alignment/SRR35526940_RG_sorted.bam --OUTPUT alignment/SRR35526940_dedup.bam --METRICS_FILE alignment/SRR35526940_dup_metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 06 11:50:56 PKT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
BRCA_library	32	923044	1722	1462	31	915171	0	0.99147	7873

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	3201	3201
2.0	1	1337	1337
3.0	1	689	689
4.0	1	402	402
5.0	1	302	302
6.0	1	215	215
7.0	1	172	172
8.0	1	140	140
9.0	1	132	132
10.0	1	95	95
11.0	1	99	99
12.0	1	87	87
13.0	1	77	77
14.0	1	49	49
15.0	1	54	54
16.0	1	46	46
17.0	1	38	38
18.0	1	52	52
19.0	1	35	35
20.0	1	36	36
21.0	1	35	35
22.0	1	24	24
23.0	1	21	21
24.0	1	20	20
25.0	1	19	19
26.0	1	28	28
27.0	1	18	18
28.0	1	13	13
29.0	1	17	17
30.0	1	17	17
31.0	1	9	9
32.0	1	13	13
33.0	1	6	6
34.0	1	8	8
35.0	1	7	7
36.0	1	0	0
37.0	1	5	5
38.0	1	7	7
39.0	1	5	5
40.0	1	2	2
41.0	1	6	6
42.0	1	3	3
43.0	1	4	4
44.0	1	1	1
45.0	1	3	3
46.0	1	1	1
47.0	1	4	4
48.0	1	3	3
49.0	1	3	3
50.0	1	5	5
51.0	1	1	1
52.0	1	1	1
53.0	1	2	2
54.0	1	1	1
55.0	1	1	1
56.0	1	1	1
57.0	1	0	0
58.0	1	3	3
59.0	1	1	1
60.0	1	0	0
61.0	1	2	2
62.0	1	3	3
63.0	1	0	0
64.0	1	1	1
65.0	1	1	1
66.0	1	1	1
67.0	1	1	1
68.0	1	0	0
69.0	1	0	0
70.0	1	2	2
71.0	1	1	1
72.0	1	1	1
73.0	1	1	1
74.0	1	0	0
75.0	1	1	1
76.0	1	0	0
77.0	1	1	1
78.0	1	1	1
79.0	1	0	0
80.0	1	0	0
81.0	1	1	1
82.0	1	0	0
83.0	1	0	0
84.0	1	0	0
85.0	1	0	0
86.0	1	2	2
87.0	1	0	0
88.0	1	0	0
89.0	1	0	0
90.0	1	0	0
91.0	1	0	0
92.0	1	0	0
93.0	1	1	1
94.0	1	1	1
95.0	1	0	0
96.0	1	2	2
97.0	1	0	0
98.0	1	0	0
99.0	1	0	0
100.0	1	1	1
109.0	0	1	1
112.0	0	1	1
115.0	0	1	1
120.0	0	1	1
122.0	0	1	1
126.0	0	1	1
128.0	0	1	1
131.0	0	1	1
136.0	0	1	1
138.0	0	2	2
149.0	0	1	1
155.0	0	1	1
170.0	0	1	1
172.0	0	1	1
174.0	0	1	1
185.0	0	1	1
198.0	0	1	1
210.0	0	1	1
213.0	0	1	1
234.0	0	1	1
